Rating	Feedback
5	I loved the classes
4.5	I got what I needed
0.5	No instructor
5	Wonderful giving clear Instructions
5	I loved the classes
5	I got what I needed
0.5	There was no teacher, we waited for 15 mins and disconnected 
5	I loved the classes
5	Wonderful giving clear Instructions
5	I got what I needed
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
4	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	I got what I needed
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
4.5	I loved the classes
5	I loved the classes
5	I loved the classes
4.5	Wonderful giving clear Instructions
5	I loved the classes
5	I got what I needed
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	I loved the classes
4.5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
3.5	Great experience
5	I loved the classes
3.5	I got what I needed
3.5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	I loved the classes
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
2	few tips and alternates for the beginners would help, because I have shoulder issues and I couldn't do few and didn't continue and complete
5	I loved the classes
5	I loved the classes
0.5	The class started 10 min late. But ended on time. I prefer a restorative class similar to Vineet or Vikram. We are doing our regular exercises but slowly. Today the class was super slow. I do not feel I have done any exercise at all. Very poor experience.
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
4.5	I loved the classes
1	No class
5	Wonderful giving clear Instructions
1	could not log in and could not open the camera.  kept getting message something is wrong
5	Wonderful giving clear Instructions
4.5	I loved the classes
1	The teacher did not show up for the class
5	A wonderful class to start with. Veena was so welcoming.
5	I loved the classes
3.5	an explanation of what the breathing is doing and why we do it.
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
0.5	could'nt see video at all. voice was also breaking.
5	I got what I needed
1	No one showed up for claass
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
4.5	I got what I needed
4.5	Wonderful giving clear Instructions
4.5	I got what I needed
0.5	[6:03 AM, 11/28/2022] Anita: Ia logged in. But no one is here [6:03 AM, 11/28/2022] Anita: I am [6:15 AM, 11/28/2022] Anita: I think, the link that you gave me, it takes me to my previous class when I log in from my phone now, as it says the class has ended.  I am logged in successfully from laptop. But now I think it might  be the previous link too as I had logged in before my current class time it allowed me in. I was supposed to join the previous class which I did complete successfully. So do I have the wrong link? [6:19 AM, 11/28/2022] Anita: I also called +1(315)9029642. And the lady told me that she will call in 2 mins. But no reply. Haven't heard from her or from anyone on whatsapp either. [6:20 AM, 11/28/2022] Anita: I am leaving the online session now as it's past 20 mins of my 30 mins class.
5	Wonderful giving clear Instructions
3.5	I got what I needed
5	I got what I needed
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	I got what I needed
2.5	Video kept disconnecting 
2.5	video keeps stopping
3.5	I loved the classes
5	Wonderful giving clear Instructions
4.5	I loved the classes
5	Wonderful giving clear Instructions
4.5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
3.5	The teacher is great but her audio is not clear. It happened in a previous class as well and few others also experienced the same issue.
1.5	Call kept hanging. It was very annoying. Unable to login to call via the app either
5	I loved the classes
5	I loved the classes
4.5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I loved the classes
3	I got what I needed
3.5	I loved the classes
0.5	I never book class with her she , I don't want waste my time. I book class with her few time and I was so disappointed.
0.5	looks like a trch problem class did not happen
0.5	The instructor was a no-show. I waited 10 minutes and then left.
1	No one came to begin the class.
5	Wonderful giving clear Instructions
5	I loved the classes
4.5	Wonderful giving clear Instructions
4	I got what I needed
4.5	Wonderful giving clear Instructions
3.5	Audio is not consistently clear. Instructor is great!
5	I loved the classes
0.5	No sound
4.5	I loved the classes
1	I stop in the middle of my session  she talk to fast and she yelled.
5	I loved the classes
4.5	I loved the classes
0.5	She doesn't give clear instructions , I try to give her the benefit of the doubt , more then one time today I did leave the class she was going to fast and I think she didn't care if we doing the right move. I will never book class with her again. 
3.5	Great yoga but wish my pants weren’t slipping down so much. I don’t really care I’m very body positive but anyone who looks back on the recording can see my Buttcrack and at one point when my pants slipped all the way down. Otherwise, loved the teacher and movements.
5	I loved the classes
5	I loved the classes
4	Wonderful giving clear Instructions
3.5	light music would help. Some chanting may have helped.
5	Excellent Teacher
5	Wonderful giving clear Instructions
5	I got what I needed
5	I loved the classes
4.5	Wonderful giving clear Instructions
3.5	Instructor moved alittle fast for beginners class.
5	I loved the classes
3	I got what I needed
4.5	Wonderful giving clear Instructions
5	I loved the classes
3	a short briefing session would have helped at the beginning of the class esp since it was a new session for me
5	Wonderful giving clear Instructions
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
4.5	I loved the classes
3	too many network issues 
5	Wonderful giving clear Instructions
4.5	I loved the classes
5	I got what I needed
5	I loved the classes
3	I liked the class, but would have liked her to give me a little more feedback
3.5	video screen was getting frozen
5	Wonderful giving clear Instructions
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
0.5	Unfortunately I can’t hear the instructor I check my wi
5	Wonderful giving clear Instructions
5	I loved the classes
4.5	I loved the classes
3	the class went too fast. would like some pranayam . as well as attention to beginners
5	I got what I needed
5	I loved the classes
1	The teacher did not join. Hope all is well.
5	I loved the classes
5	Wonderful giving clear Instructions
4.5	I got what I needed
3	I had to leave to take a business call.
3	 The internet was choppy. We lost the instructor for good 3-4 mins.. The instructor is great however the system needs improvement.
4.5	I got what I needed
5	Wonderful giving clear Instructions
0.5	waited till 5:10pm but instructor did not join.
5	Wonderful giving clear Instructions
0.5	The Mentor appear not being caring , I could not get answer from her at first few minutes of joining. She did not do anything which make me feel like part of the class.
5	I loved the classes
5	Wonderful giving clear Instructions
1	Instructor wasn’t being very upfront about what we are going to do, so it was a little bit confusing. Dolma &!Sakshi explains and then asks us to do which makes it easier on what to expect. Pls bring their classes back. 
5	I loved the classes
5	Wonderful giving clear Instructions
2	Not clear enough instructions
5	Wonderful giving clear Instructions
5	I loved the classes
3	The instructions were not that clear and felt rushed when moving from one pose to other poses.
3.5	Shruti ji is very good and patient, no doubt. Suranamaskar rounds were too many. Maybe tweak and introduce some other asanas too? Thank you, regards
5	 Deepak is an awesome teacher, simply superb
5	I loved the classes
5	Wonderful giving clear Instructions
5	I loved the classes
2.5	I could not follow few tricks.
5	I loved the classes
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I got what I needed
5	I loved the classes
3.5	I got what I needed
5	Wonderful giving clear Instructions
3.5	I was not sure he acknowledged my presence or not. This was my first class with this trainer so I had trouble understanding him.
5	I loved the classes
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
3	There were no visual clues from the teacher. The teacher was not demonstrating the poses and there were new poses that I had not done before. No instructions on how to achieve the pose.  The class seemed to be just to somehow get through a set of poses. There are alternate and step by step ways to get to a final pose for beginners. Those should be taught. It is good when teachers are demonstrating and doing the poses at least initially. Variety will also be good rather than the same thing everyday. It makes it interesting.
4	everyone is teaching different.
3.5	Wonderful giving clear Instructions
5	I loved the classes
5	Teacher Gave Clear instructions
4	 Holding certain asanas becomes challenging at time, but I assume slowly I can be up to the mark.
3	it was exactly the same flow as yesterday - possibly by design but think couldve gotten deeper
4.5	I got what I needed
5	Teacher is very encouraging
3	 I feel I am not able to cope up, I am at a very beginner level.
5	Teacher Gave Clear instructions
5	loved todays class especially the pranayam at the end
5	I loved the classes
5	Teacher Gave Clear instructions
4	patanjali is an excellent teacher
4.5	I loved the classes
5	Teacher Gave Clear instructions
5	 This was the best pranayama class I've taken so far. Perfect for a beginner like me. Sakshi is wonderful.
5	I got a lot of personal feedback
4	just that the classes in the last 10 days are the same flow - very very minor difference
3	lot of disturbance in sound
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Dolma is very patient and encouraging. Thank you Dolma!!
5	 Love the music too in the background, not too loud either!
5	 While switching between the videos, the video becomes still and unable to see what has been shown, hence, doubtful if am doing the right posture. Otherwise the class is up to my expectations.
1	 Video is not visible, can't see anything o screen  This is really frustrating
5	I loved the classes
5	Lot of clear instructions and personal feedback. Was easy to follow as there was an initial demonstration from the teacher.
5	Always Awesome. Becoming Healthier day by day.
5	 Always Awesome, becoming Healthier day by day.
5	Wonderful giving clear Instructions
5	I loved the classes
2	I don’t think it was for beginners I felt sick to my stomach was too much🤦🏽‍♀️
4	 Being a mixed class with both beginners and intermediate; it is sometimes difficult to keep up as I am not there yet and cannot do a lot of the poses. The teacher is trying to handle both together well. Getting words of encouragement is good as it makes us want to do better or know that we are getting there.  The following is a general comment and not related to the instructor. Maybe Shvasa could add some videos on how to get to the final pose through step by step instructions. There are lot of reels and videos out there that show. E.g, shoulder stand, through trying it against the wall and then moving away or forward bending through learning to do it first with bended knees etc., |There are videos that show how to first get the required muscles relaxed and stretched to achieve the final pose. Mybe using bricks initially to lift off the floor etc.
5	Very calm and composed vibes from Barsha during the session with rightly required pace & knowledge of asanas
3	 Lot of noises barking dog, vehicle noises and other household noises
4.5	I loved the classes
5	 Taking class for complete 60 minutes will be helpful. Usually, class ends between 50 to 55 minutes.
5	I loved the classes
5	 Loved the inclusion of meditation in the class. We did a lot of asanas and practices but it did not seem rushed. It was so methodical with lot of modifications and the pace was just right. Great teacher. Audio was not clear. It was difficult to hear the instructions clearly.
3	Teacher used the video feed of one of the students to demonstrate poses/practice
1	the class never started
5	 i was feeling giddy in between the session, so i had to take a short break.
5	awesome today - new asanas - yay
4	I loved the classes
2	 I had a session with another instructor who would actually correct your position and went a little slower. For someone just trying to learn what sequence of poses to hold, it was very difficult to follow along and if I had my face looking forward, I would not be able to understand the instructions based on audio. The previous instructor said things like “Right leg forward, left leg back, xyz pose” so I could not only learn what the correct name of the poses were, but I could also follow along until I learned the names of the positions. Would not take this class again.
5	Wonderful giving clear Instructions
5	is it possible to include breathing exercise as well?
5	Great variations and perfect pace. Class was awesome. Gave clear instructions to both beginners and regular practitioners.
4	Voice clarity is not so good informed the instructor.same feedback from another attendee today
5	Simply awesome
5	Really liked the modification teacher took after the class i really feel fresh and full of energy.
4	 teacher couldve been more interactive, was speaking too fast especially in shvasana
5	 Learned a lot of new stretches today and it was good and slow.   The only thing is that the teacher's audio becomes choppy and unclear when they are not facing the camera or lying down.
5	excellent deep strectches....must dom more often
5	amazing session today
4	Wonderful giving clear Instructions
4	Voice is shaky and others also felt the same
5	Pace of the instructions were too fast
5	Awesome
5	I loved the classes
5	Covering class for entire 60 minutes will be helpful.
5	Shwetha is very patient and guides the class well.
5	 Vineeth sir is not only master of his art which is Yoga, but also master of teaching methodology when it comes to imparting his knowledge. His instructions are crystal clear and makes me feel comfortable. I prefer to practice only under his guidance. I wish he would take some early morning classes from the time slots between 6am - 9am
5	Coach paid attention to everyone..
5	 But your app is not working, in iOS.
5	Beautiful relaxation/meditation & chanti.
5	 Love the music in the background as well, it helps
4	the tempo of the music in shvasana was very fast. cannot relax in it or go within.
4	 Class is good , no doubt about it. However I noticed few things in today's class and sharing here...it will be great if instructor give small breaks or child pose asanas in bw it get our breath back ! Also not sure,  highlighting one person through out the classis comfortable to that person and also to others ( not saying this out of jealousy) . Usually attendees look up for instructor and its totally fine if one person in class is performing good and highlighting for particular time for that asana . Whole class running on one person is like that person is taking class . It's my opinion. Apart from this I enjoyed the class and sequence . Again it's my personal opinion and not against with anyone .
5	Very clear instruction
5	I loved the classes
5	I loved the classes
5	Is it possible to include some breathing exercise as well?
5	Wonderful giving clear Instructions
5	 Dolma is very patient and encouraging. I also like her selection of poses, they are challenging and I feel amazing after trying them.
5	Flexible schedules
4.5	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	Please have the relaxing session for atlease 5 mins like you did today
5	awesome just awesome
5	 Sound quality, barely audible.
4	I got what I needed
5	Meghana is a fantastic coach. She will give corrections and direct me on the right path and Love working with her.
1	 For the new asanas, giving the instructions one time and moving ahead does not help. I was stuck most of this class and was sitting idle without knowing what to do. With a mix of seasoned practitioners and beginners, the class has to be conducted in such a way to allow everyone to progress. Instructions and demonstrations need to be repeated so we can pick up as we may not get the whole pose with one set of instructions. I felt so demotivated and deflated after the class.  Also, the quality and pace of the suryanamaskar should be considered over the quantity. Doing a fewer number of suryanamaskars, slower and keeping each pose for a few seconds should be considered, rather than many rounds. I am not sure why the variety of class offerings at 6am has reduced and is now a mix of intermediate and beginners. Also there are no weight loss or other options available at 6.
5	What a difference from yesterday! We were given clear instructions and demonstrations.
3	 teacher practiced for just 49 minutes maximum...he ,mentioned its a 90 min practice we will do in 60 min but in 49 min asanas ended why?
3	 patanjli is a very good teacher, but i didnt break a sweat at all, body was not warmed enough for the deep stretches
5	Personal feedback was great
3	Wonderful giving clear Instructions
5	Wonderful giving clear Instructions
5	I got what I needed
2.5	This one was hard
5	Wonderful giving clear Instructions
5	Holding the poses for the 10 count was difficult.  It’s not that I didn’t like it…just have not held poses for that long before.  Western yoga🙄
5	Excellent!
4	I got what I needed
4	Wonderful giving clear Instructions
3	 My expectation from the session was to have sleep meditation as the name suggested and I felt the session was more for relaxation. The trainer was really good, maybe only that my expectation was different.
5	Wonderful giving clear Instructions
5	very informative
5	Shruthi is my fav teacher.
5	I got what I needed
5	Wonderful giving clear Instructions
3	There was a lot of technical difficulty
3	 Since i never did yoga, i will join basic class !! hard for me to do this right. now
5	I loved the classes
5	Wonderful giving clear Instructions
5	loved it!!
4	Wonderful giving clear Instructions
5	first time doing it and loved it! Sir and his instructions are just perfect. Thank you!
4	I think that was a little too challenging for me.  I tried!
4	 sometimes voice is very low, but overall its good.
5	I loved the classes
1.5	Wonderful giving clear Instructions
4	It was little difficult to understand all moves, also tght it was somewhat fast paced for new joiners. But the trainer was good
5	Restorative yoga sessionof shakshi is good It would be good if we have restorative like this in weekends
3	Instructions were good and voice was calming. Overall it would have been more relaxing without the sound disturbances - clanking background noises.
5	awesome class
5	He is one of the best instructor
5	Patanjali is one of the best
3	 Most of the time teacher was not showing how to do the asanas, she was doing some asanas and just giving instructions for other asanas... For beginners it would be beneficial if she can do and show each and every asana
5	So much care from Shvasa and all the team. Thank you Pradeep for sharing all your knowledge and experience.
5	Wonderful feelings. Namaste!
5	Construction of the class
5	i loved the variation in the asanas
4.5	I loved the classes
5	Wonderful giving clear Instructions
4.5	I loved the classes
5	Wonderful giving clear Instructions
3	 There were internet issues .. not sure on who's side, but was not able to follow due to internet issues/
1	internet connection was very unstable
1	Video and audio not workimg
5	Excellent!
